Artist Name,Album,Best Song,Genre,Release Date,Scrobble Score,Total Scrobbles,Avg Per Track,Obsession Score,Prediction Score,Similar Artists,Album Length,Discovery Method,Album Art URL,manual_boost,manual_notes,final_rank_override
The Swell Season;Glen Hansard;Markéta Irglová,Forward,People We Used To Be,,2025-07-11,0.0,0,0.0,0.0,0.0,,36.72658333333333,Spotify,,,,
Jason Isbell,Foxes in the Snow,Bury Me,"alt country,americana,roots rock,red dirt",2025-03-07,0.0,0,0.0,0.0,0.0,,38.0364,Spotify,,,,
Das Beat,Frau Fatal,Wrestling My Mind,"neue deutsche welle,cold wave,darkwave",2025-03-14,0.0,0,0.0,0.0,0.0,,40.14001666666667,Spotify,,,,
Saba;No ID;BJ The Chicago Kid;Eryn Allen Kane,From The Private Collection of Saba and No ID,Breakdown,neo soul,2025-03-18,0.0,0,0.0,0.0,0.0,,41.69535,Spotify,,,,
Moonchild Sanelly,Full Moon,Scrambled Eggs,gqom,2025-01-10,0.0,0,0.0,0.0,0.0,,42.27216666666666,Spotify,,,,
Star 99,Gaman,Kill,power pop,2025-03-07,0.0,0,0.0,0.0,0.0,,25.330033333333333,Spotify,,,,
Sedona,Getting Into Heaven,She's So Pretty,,2025-05-23,0.0,0,0.0,0.0,0.0,,31.97715,Spotify,,,,
Kris Delmhorst;Rose Cousins,Ghosts in the Garden,Not the Only One,"folk,americana,singer-songwriter,southern gothic",2025-03-07,0.0,0,0.0,0.0,0.0,,39.82246666666666,Spotify,,,,
Panchiko,Ginkgo,Ginkgo,shoegaze,2025-04-04,0.0,0,0.0,0.0,0.0,,39.32683333333333,Spotify,,,,
Key Glock,Glockaveli,She Ready,,2025-05-02,0.0,0,0.0,0.0,0.0,,45.78931666666666,Spotify,,,,
Viagra Boys,viagr aboys,Man Made of Meat,"post-punk,egg punk",2025-04-25,0.0,0,0.0,0.0,0.0,,37.36898333333333,Spotify,,,,
